여상규,자유한국당,3선의원\n판사 출신\n판사 재직 당시 훗날 재심을 통해 무죄로 판결되는 간첩조작 사건을 맡은 것으로 '그것이 알고싶다'에 출연했습니다\n재산은 58억 345만원입니다
송기헌,더불어민주당,초선의원\n강원도의 유일한 더민주 국회의원! 서울대 법대 졸업 후 검사생활을 했습니다\n더불어민주당 법률위원장입니다\n재산은 2억 6500만원입니다\n
김도읍,자유한국당,재선의원\n검사 출신\n재외국민등록법 개정안을 발의했습니다\n재산은 31억 2385만원입니다
오신환,바른미래당,재선의원\n20대 국회 중 유일한 배우 출신 국회의원! 한예종 1기 출신으로 장동건과 동기이며 송강호와 연극배우 막내생활을 같이 했다고 합니다\n무한도전 국회의원 편에 출연하여 발의한 아동학대 법안을 통과시켰습니다\n재산은 36억 739만원입니다
금태섭,더불어민주당,초선의원\n검사 출신으로 검찰개혁을 주장하고 있습니다\n선거캠프 당시 페이스북 계정을 운영하여 말 가면을 쓰고 있는 사진이나 강서구 맛집 게시글을 올리는 등 흥행하였습니다\n유튜브 채널 '금태섭 TV'를 운영하고 있습니다\n재산은 59억 4005만원입니다
김종민,더불어민주당,"초선의원\n'불사조'라 불리는 이인제를 꺾고 기적으로 당선된 국회의원! 정치부 기자 출신입니다\n청와대 대변인, 충청남도 정무부지사를 역임했습니다\n국회 운영위원회 위원을 겸임하고 있습니다\n재산은 3억 7769만원입니다"
박주민,더불어민주당,"초선의원\n변호사 출신\n최근 더불어민주당 최고위원에 선출되었습니다\n2년 연속 국회 내 정치 후원금 모금 1위입니다\n정치부 기자들이 꼽은 '최고 신사 의원'에게 수여하는 백봉신사상 대상을 받았습니다\n무한도전 국민의원 편에 출연하여 국민소환법을 발의했습니다\n세월호, 가습기 피해 사건과 관련한 사회적 참사법을 통과시켰습니다\n재산은 8억 4975만원입니다"
백혜련,더불어민주당,"초선의원\n검사 출신\n청와대의 재향경우회, 어버이연합 커넥션 의혹을 제기했습니다\n재산은 7억 3766만원입니다"
이춘석,더불어민주당,3선의원\n변호사 출신\n더불어민주당 사무총장을 역임중입니다\n재산은 6억 4775만원입니다
조응천,더불어민주당,"초선의원\n검사 출신\n김대중, 노무현, 이명박, 박근혜 정부 까지 주요 요직을 맡아왔습니다\n'별주부짱'이라는 횟집을 운영했습니다\n바른미래당 김동철 의원과 대학동기입니다\n재산은 33억 6910만원입니다"
표창원,더불어민주당,"초선의원\n프로파일러로 활동했습니다\n강호순사건, 발바리 사건 등 유명 주요 범죄사건 해결에 기여하며 이름을 알렸습니다\n<그것이 알고싶다>에 단골로 출연하며 유명해졌습니다\n18세 미만 미성년자에 중형을 선고가능하게 하는 법개정안을 내놓았습니다\n탄핵당시 의원들의 찬/반리스트를 공개해서 논란이 되었습니다\n재산은 5억 4989만원입니다"
이완영,자유한국당,재선의원\n행정고시 출신\n정치자금법 위반으로 의원직 상실형의 1심을 선고받았습니다\n재산은 61억 6641만원입니다
이은재,자유한국당,"재선의원\n건국대학교 정치대학 정치행정학부 교수, 동 대학교 행정대학원 원장을 역임한 행정 전문가입니다\n트러스트 중개업을 금지하는 '공인중개사법 일부개정법률안'을 발의했습니다\nMS 오피스 사건으로 논란이 있었습니다\n재산은 86억 5270만원입니다"
장제원,자유한국당,"3선의원\n예산결산특별위원회 간사를 겸임하고 있습니다\n중앙대학교 신문방송학과와 동대학원을 졸업했습니다\n아버지가 11,12대 국회의원이었습니다\n재산은 25억 5800만원입니다"
정갑윤,자유한국당,5선의원\n울산에서 목재회사를 경영했습니다\n2016년 테러방지법 필리버스터 당시 부의장으로써 토론의 진행을 방해해 논란이 되었습니다\n재산은 10억 8763만원입니다
주광덕,자유한국당,재선의원\n검사 출신\n국회운영위원회 위원을 겸임중입니다\n박근혜 정부 당시 청와대 대통령비서실 정무비서관을 역임했습니다\n재산은 10억 4336만원입니다
채이배,바른미래당,"초선의원\n회계사 출신\n재벌기업 투명성이나 내부거래 문제와 관련한 전문가입니다\n국회운영위원회, 예산결산특별위원회 위원을 겸임중입니다\n재산은 7억 9676만원입니다"
박지원,민주평화당,"4선의원\n강길부의원과 함께 국회 최고령 의원입니다\n김대중 정부 당시 공보수석, 문화부 장관, 대통령 비서실장 등 주요 요직을 역임했습니다\n재산은 12억 8290만원입니다"