전혜숙,더불어민주당,재선의원\n약학 전공으로 보건복지위원회를 겸임하고 있습니다\n더불어 민주당 사회복지 특별위원장입니다\n성폭력 무고죄 고소를 성폭력 수사 종결 후로 하는 법안을 발의했습니다\n재산은 10억 9828만원입니다
정춘숙,더불어민주당,"초선의원\n'여성의 전화'에서 24년 동안 많은 상담과 사건을 해결해왔습니다\n부부재산 양성평등법을 발의했는데, 이 법안이 통과되면 외국처럼 결혼율보다 동거율이 높아질 것으로 보입니다\n재산은 10억 755만원, 공문서 위조로 징역1년을 선고받은 전과이력이 있습니다"
송희경,자유한국당,초선의원\nKT에서 전무이사를 역임했습니다\n52시간 근무제에 대해 IT업종 특례조항을 발의했습니다\n재산은 33억 2025만원입니다
김수민,바른미래당,초선의원\n현 국회 최연소 국회의원으로 '브랜드호텔'이라는 벤처기업인 출신입니다\n디자인 전공자로 허니버터칩의 표지를 디자인했습니다\n아버지가 한나라당 14대 국회의원이었으며 재산은 3147만원입니다
김정우,더불어민주당,초선의원\n행정고시 출신입니다\n20년 가까이 기획재정부에서 재정정책을 다룬 전문가입니다\n재산은 21억 2721만원입니다
송기헌,더불어민주당,초선의원\n강원도의 유일한 더민주 국회의원! 서울대 법대 졸업 후 검사생활을 했습니다\n더불어민주당 법률위원장입니다\n재산은 2억 6500만원입니다
송옥주,더불어민주당,초선의원\n더불어민주당의 대변인입니다\n재산은 4억 8121만원입니다
제윤경,더불어민주당,"초선의원\n주빌리티은행 대표출신입니다\n서민의 빚 탕감을 도와주는 에듀머니라는 회사를 운영했습니다\n덕성여대 총학생회장을 했습니다\n47세임에도, 검도 애호가로 알려져 있습니다\n재산은 2억 5982만원입니다"
표창원,더불어민주당,"초선의원\n프로파일러로 활동했습니다\n강호순사건, 발바리 사건 등 유명 주요 범죄사건 해결에 기여하며 이름을 알렸습니다\n<그것이 알고싶다>에 단골로 출연하며 유명해졌습니다\n18세 미만 미성년자에 중형을 선고가능하게 하는 법개정안을 내놓았습니다\n탄핵당시 의원들의 찬/반리스트를 공개해서 논란이 되었습니다\n재산은 5억 4989만원입니다"
김현아,자유한국당,초선의원\n부동산 정책 전문가입니다\n무한도전 <국민의원>편에 출연한 적이 있습니다\n더300 평가에서 2년 연속 국토교통위원회 국감평가 1위를 달성했습니다\n재산은 18억 4994만원입니다
신보라,자유한국당,초선의원\n'청년이 여는 미래' 대표 출신 청년 운동가입니다\n현재 임신중입니다\n국회에서 두 번째로 나이가 어립니다\n재산은 4억 3110만원입니다
유민봉,자유한국당,초선의원\n행정학을 전공한 학자 출신으로 박근혜정부의 국정기획 수석을 지냈습니다\n저서들은 행정고시 필독서로 꼽힙니다\n음주운전 벌금 전과가 있고 재산은 10억 6228만원입니다
윤종필,자유한국당,초선의원\n대한민국 군 역사상 세 번째 여성 장군입니다\n간호장교출신으로 국군 간호사관학교의 교장을 지냈습니다\n17년 국정감사에서 저출산 대책으로 '싱글세'같은 패널티가 필요하다는 발언을 했습니다\n재산은 16억 5876만원입니다
이종명,자유한국당,"초선의원\n육군사관학교 출신으로, 전우를 구하기 위한 지뢰수색에 의해 다리를 잃은 상이군인입니다\n재산은 10억 6772만원입니다"
전희경,자유한국당,초선의원\n자유시장을 가장 큰 가치로 여기는 우파정치인입니다\n교과서 국정화 운동에 참여했습니다\n유투브 채널로 의정보고 영상을 올리는 등 소통을 했습니다\n재산은 2억 5747만원입니다
신용현,바른미래당,"초선의원\n여성 최초로 한국표준과학연구원장을 맡은 물리학자입니다\n위안부, 여성과학자의 지위와 관련된 법안을 발의했습니다\n재산은 62억 5811만원입니다"
윤소하,정의당,초선의원\n 6월 항쟁에 참여했습니다\n 집회 및 시위에 관한 법률을 위반한 전과가 있습니다\n국회 저출산 극복 연구 포럼의 공동대표를 맡았습니다\n최순실게이트 국정조사 특별위원이었습니다\n법안 발의를 많이 합니다\n어린이 입원진료비 전액을 국가에서 부담하는 법을 발의했습니다\n재산은 3억 4882만원입니다